CODIMUNI;NOMMUNI;2017_mean;2017_min;2017_max;2018_mean;2018_min;2018_max;2019_mean;2019_min;2019_max;2020_mean;2020_min;2020_max
80351;Calella;0.37;-0.52;1.00;0.42;-0.47;0.83;0.42;-0.56;1.00;0.45;-1.00;0.82
80399;Campins;0.57;-0.41;1.00;0.59;-0.67;0.85;0.59;-0.39;0.85;0.67;-0.22;0.87
80403;Canet de Mar;0.38;-0.44;0.82;0.40;-0.42;0.81;0.38;-0.41;0.82;0.41;-0.43;0.81
80410;Canovelles;0.26;-0.55;0.78;0.31;-0.47;0.80;0.41;-0.51;0.83;0.50;-0.25;0.84
80425;C”noves i Samal∑s;0.56;-0.57;1.00;0.56;-0.53;1.00;0.54;-0.57;1.00;0.66;-1.00;1.00
80431;Canyelles;0.30;-0.64;0.79;0.42;-0.51;0.83;0.41;-0.54;0.82;0.40;-0.46;0.80
80462;Cardedeu;0.31;-0.45;1.00;0.33;-0.54;1.00;0.46;-0.56;1.00;0.52;-1.00;0.86
80517;Castellar del Vallﬁs;0.45;-0.55;0.81;0.46;-0.45;1.00;0.50;-0.61;1.00;0.62;-0.30;0.86
80543;Castellbisbal;0.32;-0.51;1.00;0.37;-0.44;1.00;0.42;-0.44;1.00;0.45;-1.00;1.00
80556;Castellcir;0.45;-0.41;1.00;0.58;-0.35;0.85;0.59;-0.16;0.87;0.65;-0.05;0.87
80569;Castelldefels;0.25;-0.70;1.00;0.28;-0.58;1.00;0.32;-0.58;1.00;0.35;-1.00;0.85
80581;Castellet i la Gornal;0.26;-0.54;1.00;0.40;-0.36;1.00;0.38;-0.40;1.00;0.41;-1.00;0.79
80641;Castellter˛ol;0.44;-0.68;1.00;0.57;-0.53;1.00;0.59;-0.69;0.86;0.65;-1.00;1.00
80654;Castellv› de la Marca;0.24;-0.43;1.00;0.40;-0.19;1.00;0.35;-0.31;1.00;0.42;-1.00;0.79
80667;Castellv› de Rosanes;0.53;-0.50;1.00;0.49;-0.30;1.00;0.54;-0.37;1.00;0.60;-1.00;0.85
80689;Cervellæ;0.45;-0.45;1.00;0.44;-0.42;1.00;0.51;-0.40;1.00;0.55;-1.00;1.00
80692;Collbatæ;0.39;-0.55;1.00;0.43;-0.43;0.81;0.46;-0.59;1.00;0.53;-1.00;0.84
80728;Corbera de Llobregat;0.44;-0.56;1.00;0.43;-0.46;0.82;0.48;-0.53;1.00;0.53;-1.00;1.00
80734;Cornell” de Llobregat;0.13;-0.51;0.78;0.19;-0.53;0.77;0.21;-0.43;0.80;0.25;-0.31;0.84
80749;Cubelles;0.23;-0.62;1.00;0.33;-0.49;0.82;0.35;-0.40;0.84;0.34;-1.00;0.79
80752;Dosrius;0.53;-0.58;0.83;0.54;-0.43;1.00;0.57;-0.47;1.00;0.65;-1.00;1.00
80765;Esparreguera;0.38;-0.42;1.00;0.41;-0.44;0.81;0.46;-0.46;0.86;0.55;-0.23;0.84
80771;Esplugues de Llobregat;0.18;-0.49;0.75;0.23;-0.53;0.76;0.30;-0.51;0.82;0.32;-0.63;0.84
80811;Fogars de Montcl∑s;0.51;-0.81;1.00;0.67;-0.28;0.88;0.64;-0.30;1.00;0.72;-1.00;1.00
80850;Font-rub›;0.26;-0.47;1.00;0.36;-0.20;1.00;0.34;-0.40;1.00;0.44;-1.00;1.00
80863;les Franqueses del Vallﬁs;0.31;-0.50;1.00;0.35;-0.53;1.00;0.47;-0.54;1.00;0.52;-1.00;1.00
80879;Gallifa;0.46;-0.45;1.00;0.57;-0.39;0.84;0.55;-0.28;0.84;0.67;-0.16;0.87
80885;la Garriga;0.43;-0.53;0.85;0.46;-0.51;1.00;0.48;-0.57;1.00;0.59;-1.00;0.88
80898;Gav”;0.37;-0.67;1.00;0.39;-0.47;1.00;0.42;-0.51;1.00;0.46;-1.00;0.85
80919;Gelida;0.41;-0.54;0.83;0.42;-0.44;0.82;0.46;-0.51;1.00;0.52;-0.49;0.86
80945;la Granada;0.14;-0.31;0.77;0.33;-0.28;0.82;0.24;-0.28;0.79;0.40;-0.21;0.80
80958;Granera;0.43;-0.41;1.00;0.57;-0.27;1.00;0.57;-0.30;0.84;0.66;0.03;0.86
80961;Granollers;0.25;-0.63;1.00;0.24;-0.55;1.00;0.36;-0.60;1.00;0.43;-1.00;0.84
80977;Gualba;0.55;-0.42;0.85;0.61;-0.35;0.86;0.62;-0.50;0.88;0.68;-1.00;0.88
81017;l'Hospitalet de Llobregat;0.10;-0.44;0.76;0.16;-0.37;0.76;0.19;-0.41;0.81;0.20;-0.53;0.84
81056;la Llagosta;0.20;-0.50;0.81;0.25;-0.36;0.75;0.32;-0.35;0.82;0.33;-0.18;0.83
81069;Llinars del Vallﬁs;0.42;-0.48;1.00;0.45;-0.43;1.00;0.51;-0.54;1.00;0.58;-1.00;0.87
81075;Lli˛” d'Amunt;0.34;-0.52;0.82;0.36;-0.49;0.84;0.47;-0.47;0.84;0.55;-0.30;0.87
81081;Lli˛” de Vall;0.32;-0.59;0.82;0.30;-0.44;0.81;0.41;-0.52;0.83;0.49;-0.33;0.85
81108;Malgrat de Mar;0.29;-0.47;1.00;0.30;-0.57;1.00;0.31;-0.62;1.00;0.29;-1.00;0.81
81141;Martorell;0.25;-0.63;1.00;0.30;-0.47;1.00;0.35;-0.58;0.83;0.37;-1.00;0.86
81154;Martorelles;0.29;-0.32;0.83;0.28;-0.22;0.77;0.36;-0.23;0.83;0.49;-0.19;0.84
81189;el Masnou;0.18;-0.51;1.00;0.22;-0.54;1.00;0.26;-0.58;1.00;0.26;-1.00;0.83
81206;Matadepera;0.48;-0.68;1.00;0.48;-0.49;1.00;0.51;-0.58;1.00;0.63;-0.38;0.87
81213;Mataræ;0.35;-0.57;1.00;0.30;-0.57;0.81;0.34;-0.57;0.83;0.45;-0.46;0.86
81228;Mediona;0.34;-0.48;1.00;0.42;-0.16;1.00;0.47;-0.37;1.00;0.46;-1.00;1.00
81234;Molins de Rei;0.40;-0.47;1.00;0.39;-0.51;0.82;0.46;-0.47;1.00;0.50;-1.00;0.85
81249;Mollet del Vallﬁs;0.24;-0.45;0.83;0.26;-0.49;0.76;0.37;-0.40;0.84;0.44;-0.35;0.84
81252;Montcada i Reixac;0.30;-0.39;1.00;0.34;-0.34;0.80;0.42;-0.49;0.83;0.42;-0.47;0.85
81265;Montgat;0.21;-0.51;1.00;0.26;-0.48;0.75;0.31;-0.56;1.00;0.34;-0.44;0.85
81347;Figaræ-Montmany;0.55;-0.59;1.00;0.60;-0.29;1.00;0.57;-0.31;1.00;0.70;-0.06;1.00
81350;Montmelæ;0.24;-0.22;0.78;0.22;-0.30;0.76;0.30;-0.25;0.83;0.39;-0.27;0.82
81363;Montornﬁs del Vallﬁs;0.34;-0.45;0.84;0.33;-0.37;0.78;0.41;-0.42;0.84;0.51;-0.16;0.85
81379;Montseny;0.49;-0.54;1.00;0.66;-0.27;1.00;0.63;-0.31;1.00;0.71;-1.00;0.89
81458;Olﬁrdola;0.26;-0.51;0.79;0.41;-0.40;0.83;0.38;-0.44;0.83;0.42;-0.44;0.80
81461;Olesa de Bonesvalls;0.46;-0.38;0.83;0.48;-0.42;0.81;0.47;-0.46;0.82;0.53;-0.47;0.85
81477;Olesa de Montserrat;0.39;-0.41;1.00;0.39;-0.49;0.82;0.44;-0.42;0.84;0.58;-1.00;0.86
81483;Olivella;0.40;-0.64;1.00;0.45;-0.46;1.00;0.44;-0.47;1.00;0.48;-1.00;1.00
81537; rrius;0.53;-0.36;0.84;0.54;-0.34;0.81;0.57;-0.43;1.00;0.68;-1.00;0.86
